entity,n,category,predicted occupation,title1,title2,title3,title4,title5,description1,description2,description3,description4,description5
Denise Kreais,9,person,businessperson,Denise Kreais - Grant Specialist - Pinellas County Sheriff's Office ...,New Council on Aging director named | Heraldrepublican | kpcnews ...,"STEUBEN COUNTY COUNCIL ON AGING, INC.",Kreais named new leader of Council on Aging | Heraldrepublican ...,"Angola, IN — Non Profit Data","View Denise Kreais' profile on LinkedIn, the world's largest professional community. Denise has 4 jobs listed on their profile. ... Angola, Indiana.","Aug 4, 2021 ... ANGOLA — The Board of Directors of the Steuben County Council on Aging ... Woodyard replaces Denise Kreais, who recently left the director ...","Angola, IN 46703. 260-665-8191 www.steubencoa.org ... Denise Kreais. MISSION STATEMENT ... the Angola American Legion Post 31 to provide funding for.","Apr 26, 2019 ... ANGOLA — The board of directors of the Steuben County Council on Aging has named Denise Kreais as its new executive director.","ANGOLA, IN ... Julia Hewitt · ANGOLA AREA CHAMBER OF COMMERCE INC, $38,727. Denise Kreais · STEUBEN COUNTY COUNCIL ON AGING INC, $37,108."
Lauren Jonaitis,8,person,businessperson,Lauren Jonaitis - Senior Conservation Director - TROPICAL ...,Lauren Jonaitis | Facebook,Christmas dinner ruined? Restaurants save the day | News ...,"Middle school choir, bands sweep gold at contest | News | kpcnews ...",Lauren Jonaitis (@laurenjonaitis) / Twitter,"View Lauren Jonaitis' profile on LinkedIn, the world's largest ... See the complete profile on LinkedIn and discover Lauren's connections and ... Angola, IN ...",Lauren Jonaitis is on Facebook. Join Facebook to connect with Lauren Jonaitis and others you may know. Facebook gives people the power to share and makes...,"ANGOLA — Do you have a game plan if the Bumpus hounds get your Christmas dinner? ... and Lauren Jonaitis news@kpcmedia.com; Dec 22, 2017; Dec 22, ...","Mar 27, 2014 ... Angola Middle School received a gold rating at the Indiana State School Music ... Gunter Good, Lauren Jonaitis, Alyssa Morre, Lauren Reeves, ...","We made a Lego drone in the makerspace and even though we didn't have enough time to fly it, it was fun! #HSDLead #apride. Image. 3. 16. Lauren Jonaitis ..."
Jeff Rhodes,8,person,businessperson,Angola Chamber Selects Leader – Inside INdiana Business,Firearms range comes to Angola | Heraldrepublican | kpcnews.com,"Richard Jeffrey Rhodes, Author at Teach. Learn. Grow.",Carl Panzram - Wikipedia,Simmons opens Steuben Family Chiropractic | Heraldrepublican ...,"Jun 8, 2017 ... ANGOLA, Ind. - The Angola Area Chamber of Commerce has named Jeff Rhodes executive director. Rhodes most recently served as a global account ...","May 10, 2018 ... Angola Area Chamber of Commerce Executive Director Jeff Rhodes called the facility “wonderful” and offered thanks to owner Greg Rekeweg and ...","Apr 15, 2021 ... Richard Jeffrey Rhodes is an experienced pre-K–12 educator who has served as a ... Before joining NWEA, Jeff worked as both a school and ...","Charles ""Carl"" Panzram (June 28, 1891 – September 5, 1930) was an American serial killer, ... Cooper John II; Harry Panzram; Jack Allen; Jeff Davis; Jeff Rhodes ...","Apr 13, 2019 ... Angola Area Chamber of Commerce Executive Director Jeff Rhodes welcomed Simmons and his business to the area, saying it's a tradition to hold a ..."
Anthony Kraus,8,person,lawyer,"Anthony Kraus Criminal, Family & DUI Attorney in Auburn IN",Community Directory — Steuben County Sheriff's Office,Man allegedly molests 2 girls | Heraldrepublican | kpcnews.com,"Anthony Kraus - Attorney - Yoder and Kraus, PC | LinkedIn","Yoder & Kraus, PC, Indiana - IN (+1 260-347-9400)","Criminal and Family Lawyer specializing in: DUI, felony and misdemeanor arrests, divorce, child support and child custody.","402 N Wayne St, Angola, IN 46703. Public Defender – Anthony Kraus Attorney (260) 347-9400 515 Professional Way/PO Box 960, Kendallville, IN 46755.","May 13, 2021 ... ANGOLA — A Fort Wayne man who previously lived in Steuben County has been arrested ... Anthony Kraus has been appointed counsel for Dexter, ...","View Anthony Kraus' profile on LinkedIn, the world's largest professional ... Shared by Anthony Kraus ... Human Resources Manager at VENTRA ANGOLA LLC.","Yoder & Kraus, P.C. is located at: 515 Professional Way, Kendallville, IN 46755, ... There is no one I would rather have on my side then Mr. Anthony Kraus."
Morten Kelstrup,8,person,businessperson,Maersk Drilling awarded contract extension to drill world record well ...,TotalEnergies takes option on Maersk drillship for record-breaking ...,Maersk Contracted To Drill Well At Record Depth Offshore Angola ...,Maersk drillship to drill for a new world record in Angola - Offshore ...,Maersk Rig Drilling World Record Well Offshore Angola | Rigzone,"Oct 15, 2021 ... TotalEnergies E&P Angola has exercised an option for the drillship ... with TotalEnergies,” says COO Morten Kelstrup of Maersk Drilling.","Oct 15, 2021 ... The Ondjaba-1 well in Angola's Block 48 will be drilled to a new world ... since early 2020,” said COO Morten Kelstrup of Maersk Drilling.","Oct 20, 2021 ... ... according to Maersk Drilling COO Morten Kelstrup. Mr Kelstrup added, ""With this contract option called, we're now looking forward to ...","Oct 15, 2021 ... Morten Kelstrup, COO of Maersk Drilling, said: “We're thrilled to be able to confirm that we indeed will be drilling for a new world record.","Oct 15, 2021 ... ... several changes due to the unprecedented circumstances the world has faced since early 2020,” Maersk Drilling COO Morten Kelstrup said."
Martin Regan,8,person,lawyer,"Regan Law, PLC – New Orleans – Man Walks Free of Murder Charge!","All-Time Roster - Lake Shore Eagles Softball (Angola, NY)","Regan Law, P.L.C. – New Orleans – Convicted at 17, Angola inmate ...","State v. McGeorge, 977 So. 2d 305 | Casetext Search + Citator",STATE v. MATTHIS | FindLaw,"Aug 25, 2014 ... ... by Attorney Martin E. Regan, Jr. and Attorney Gregory Sauzer. ... and murder of Corey Short and sentenced to life in prison at Angola.","Bonnett, Bianca(Sr.)Evancho, Olivia(Jr.)Martin, Regan(So.)Scholl, Jordan(Fr.) ...","Aug 31, 2016 ... Convicted at 17, Angola inmate from New Orleans gets chance at parole. angola. If you or a family member are facing legal difficulties, ...","Feb 8, 2008 ... MARTIN E. REGAN, JR. KARLA M. BAKER NEW ORLEANS, LA, ATTORNEY FOR DEFENDANT/APPELLANT KENNETH C. MCGEORGE. BEFORE: GAIDRY, MCDONALD AND ...","Martin E. Regan, Jr., Regan & Associates, P.L.C., New Orleans, LA, Counsel for Defendant/Appellant. STATEMENT OF THE CASE: On March 25, 1999, the defendant ..."
Jason Blume,8,person,businessperson,Jason Blume - Executive Director of Innovation One - Trine ...,"21Alive to interview Trine's Jason Blume, i1 director",20+ "Jason Blume" profiles | LinkedIn,Who is i1 | Innovation One,Top prizes awarded at Innovation Challenge | Heraldrepublican ...,"View Jason Blume's profile on LinkedIn, the world's largest professional community. Jason has 4 jobs ... Angola, Indiana, United States500+ connections.","Jan 15, 2022 ... Don't miss this exciting opportunity to see Trine University in the news. Find Us. Trine University One University Avenue Angola, IN 46703.","View the profiles of professionals named ""Jason Blume"" on LinkedIn. There are 20+ professionals named ""Jason ... 20+Results for ""Jason Blume"" ... Angola, IN.","We also can design educational solutions to equip existing employees with in-demand skills. Staff. Jason Blume Executive Director, Innovation One 260.665.4265 | ...","Feb 20, 2019 ... ANGOLA — A device to amplify sound using the natural properties of ... From left are Jason Blume, executive director, Innovation One, ..."
William Overby,8,person,judge,"Pardoned but never saw freedom, JP man hopeful for second chance",Conference to Examine History of Mass Incarceration - Ole Miss News,Alibaba options active in U.S. trading debut | Reuters,Dr. William H. Green,Boy Scouts Sexual Assault Lawsuits - Scout Sexual Abuse Litigation ...,"Aug 9, 2017 ... In 1994 a judge sentenced William Overby to three consecutive life sentences at Angola for three heroin drug deals that amounted to a couple ...","Sep 20, 2019 ... Albert Woodfox, one of the 'Angola Three,' to deliver opening keynote ... Most conference sessions will be held at the university's Overby ...","Sep 29, 2014 ... “It's a tame opening for the first day of options trading,” said Brian Overby, senior options analyst at online brokerage TradeKing in ...","Funded; Overby, Aleta C. (Supporting), Green, William H. (Supporting), Monceaux, ... (2007); Independent evaluator of the Angola Prison Rodeo (April and ...","Edwards, William Reese – Prescott Valley, Arizona ... White, Douglas Louis – Angola, New York ... Overby, Archer R. – Richmond, Virginia."
Al Mansoori,8,person,businessperson,Jassim Al-Mansoori - The Business Year,Dubai: Foul play not suspected in dos Santos' husband death ...,"Visit by H.E. Sultan Bin Saeed Al Mansoori, the Minister of Economy ...",UAE arrests at least four Islamists after plot reports | Reuters,Ayesha Al Mansoori - Executive - Dubai Chamber of Commerce ...,"“The subsidiaries of Al Ahed Holding comprise Doha Petroleum, Al Ahed Trading, and PEMCO.” BIO. Jassim Al-Mansoori has more than 30 years of industry experience ...","Nov 2, 2020 ... Sindika Dokolo, art collector and husband of Angolan billionaire Isabel dos ... Dubai police Major-General Khalil Ibrahim al-Mansouri, ...","Mar 19, 2017 ... Steinar Henskes exchanged information on the importance of bird control with Sultan Bin Saeed Al Mansoori and his delegation.","Jul 16, 2012 ... “My father was arrested this morning around 11:30 in the souk in (northern emirate) Ras al-Khaimah,” said Mansouri's son Hassan, adding he did ...",عرض ملف Ayesha Al Mansoori الشخصي على LinkedIn، أكبر شبكة للمحترفين في العالم. Ayesha لديه 2 وظيفة مدرجة على ... In my humble opinion #angola has one of…
Brian Mooney,8,person,critic,Five indicted after Tunica Trace double murder,Brian Mooney | NewSchool of Architecture & Design,Greenhill MD to join ex-colleagues on the buy-side | Secondaries ...,Kyle Mooney - Wikipedia,Our team keeps you ahead of the game · Strategos,"ANGOLA - Deputies in West Feliciana Parish say five people have been arrested and ... Two men, Clinton Ray Nicholson and Brian Mooney, were found dead when ...","Afghanistan, Albania, Algeria, American Samoa, Andorra, Angola, Anguilla, Antarctica, Antigua and Barbuda, Argentina, Armenia, Aruba, Australia, Austria ...","Nov 12, 2020 ... Brian Mooney is one of seven high-level executives to have departed Greenhill's secondaries advisory unit in recent months.","Kyle James Kozub Mooney (born September 4, 1984) is an American actor, comedian, and writer, who was a cast member of Saturday Night Live from 2013 until ...",Nice to meet you · Michel van Hove · Gary Getz · Carl Hamilton · Brian Mooney · Bud Taylor · Amy Muller · Inge van Lierde · Amiel Kornel.
3M,,SP100,#N/A,,,,,,,,,,
Abbott Laboratories,,SP100,#N/A,,,,,,,,,,
AbbVie,,SP100,#N/A,,,,,,,,,,
Accenture,,SP100,#N/A,,,,,,,,,,
Alphabet,,SP100,#N/A,,,,,,,,,,
Altria,,SP100,#N/A,,,,,,,,,,
Amazon,,SP100,#N/A,,,,,,,,,,
American Electric Power,,SP100,#N/A,,,,,,,,,,
American Express,,SP100,#N/A,,,,,,,,,,
American International Group,,SP100,#N/A,,,,,,,,,,
Amgen,,SP100,#N/A,,,,,,,,,,
Apple,,SP100,#N/A,,,,,,,,,,
AT&T,,SP100,#N/A,,,,,,,,,,
Bank of America,,SP100,#N/A,,,,,,,,,,
Bank of New York Mellon,,SP100,#N/A,,,,,,,,,,
Baxter International,,SP100,#N/A,,,,,,,,,,
Berkshire Hathaway,,SP100,#N/A,,,,,,,,,,
Biogen,,SP100,#N/A,,,,,,,,,,
Boeing,,SP100,#N/A,,,,,,,,,,
Bristol-Myers Squibb,,SP100,#N/A,,,,,,,,,,
Broadcom,,SP100,#N/A,,,,,,,,,,
Capital One Financial,,SP100,#N/A,,,,,,,,,,
Caterpillar,,SP100,#N/A,,,,,,,,,,
Chevron,,SP100,#N/A,,,,,,,,,,
Cisco,,SP100,#N/A,,,,,,,,,,
Citigroup,,SP100,#N/A,,,,,,,,,,
Coca-Cola,,SP100,#N/A,,,,,,,,,,
Colgate-Palmolive,,SP100,#N/A,,,,,,,,,,
Comcast,,SP100,#N/A,,,,,,,,,,
ConocoPhillips,,SP100,#N/A,,,,,,,,,,
Costco Wholesale,,SP100,#N/A,,,,,,,,,,
CVS Health,,SP100,#N/A,,,,,,,,,,
Devon Energy,,SP100,#N/A,,,,,,,,,,
Dow,,SP100,#N/A,,,,,,,,,,
Eli Lilly,,SP100,#N/A,,,,,,,,,,
Emerson Electric,,SP100,#N/A,,,,,,,,,,
Exelon,,SP100,#N/A,,,,,,,,,,
Exxon,,SP100,#N/A,,,,,,,,,,
FedEx,,SP100,#N/A,,,,,,,,,,
Ford Motor,,SP100,#N/A,,,,,,,,,,
Fox,,SP100,#N/A,,,,,,,,,,
Freeport-McMoRan,,SP100,#N/A,,,,,,,,,,
General Dynamics,,SP100,#N/A,,,,,,,,,,
General Motors,,SP100,#N/A,,,,,,,,,,
Gilead Sciences,,SP100,#N/A,,,,,,,,,,
Goldman Sachs,,SP100,#N/A,,,,,,,,,,
Halliburton,,SP100,#N/A,,,,,,,,,,
Home Depot,,SP100,#N/A,,,,,,,,,,
Honeywell,,SP100,#N/A,,,,,,,,,,
HP,,SP100,#N/A,,,,,,,,,,
IBM,,SP100,#N/A,,,,,,,,,,
Intel,,SP100,#N/A,,,,,,,,,,
Johnson & Johnson,,SP100,#N/A,,,,,,,,,,
JPMorgan Chase,,SP100,#N/A,,,,,,,,,,
Linde,,SP100,#N/A,,,,,,,,,,
Lockheed Martin,,SP100,#N/A,,,,,,,,,,
Lowe's,,SP100,#N/A,,,,,,,,,,
MasterCard,,SP100,#N/A,,,,,,,,,,
McDonald's,,SP100,#N/A,,,,,,,,,,
Medtronic,,SP100,#N/A,,,,,,,,,,
Merck,,SP100,#N/A,,,,,,,,,,
MetLife,,SP100,#N/A,,,,,,,,,,
Microsoft,,SP100,#N/A,,,,,,,,,,
Mondelez,,SP100,#N/A,,,,,,,,,,
Morgan Stanley,,SP100,#N/A,,,,,,,,,,
Nike,,SP100,#N/A,,,,,,,,,,
Norfolk Southern,,SP100,#N/A,,,,,,,,,,
Oracle,,SP100,#N/A,,,,,,,,,,
PepsiCo,,SP100,#N/A,,,,,,,,,,
Pfizer,,SP100,#N/A,,,,,,,,,,
Philip Morris,,SP100,#N/A,,,,,,,,,,
Procter & Gamble,,SP100,#N/A,,,,,,,,,,
QUALCOMM,,SP100,#N/A,,,,,,,,,,
Raytheon Technologies,,SP100,#N/A,,,,,,,,,,
Starbucks,,SP100,#N/A,,,,,,,,,,
Target,,SP100,#N/A,,,,,,,,,,
Tesla,,SP100,#N/A,,,,,,,,,,
Texas Instruments,,SP100,#N/A,,,,,,,,,,
Thermo Fisher Scientific,,SP100,#N/A,,,,,,,,,,
T-Mobile,,SP100,#N/A,,,,,,,,,,
Union Pacific,,SP100,#N/A,,,,,,,,,,
United Parcel Service,,SP100,#N/A,,,,,,,,,,
UnitedHealth,,SP100,#N/A,,,,,,,,,,
Verizon,,SP100,#N/A,,,,,,,,,,
Visa,,SP100,#N/A,,,,,,,,,,
Walgreens,,SP100,#N/A,,,,,,,,,,
Walmart,,SP100,#N/A,,,,,,,,,,
Walt Disney,,SP100,#N/A,,,,,,,,,,
Wells Fargo,,SP100,#N/A,,,,,,,,,,
